submission_id;question_id;module_id;teacher;option_id;answer_value
1;1;;;1;
2;1;;;1;
3;1;;;1;
4;1;;;4;
5;1;;;6;
5;2;;;10;
6;2;;;7;
6;2;;;10;
6;2;;;13;
5;3;;;;pas assez dasso
6;3;;;;nullll
5;4;;;;plus dassociation notmaent de sport
6;4;;;;changez nous de campus
2;5;;;;ajouter un terrain de volley
4;5;;;;Très belle école
2;6;;;14;
3;6;;;14;
4;6;;;17;
5;6;;;19;
5;7;;;21;
6;7;;;20;
6;7;;;22;
6;7;;;23;
5;8;;;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
6;8;;;;les pofs sont nuuuuuls
5;9;;;;Le module manque de clarté dans l’organisation.
6;9;;;;des TP longs comme le bras interminalbes
2;10;;;;so far so good
4;10;;;;Cursus assez complet
1;11;2;Xavier C.;24;
2;11;2;Xavier C.;25;
3;11;2;Xavier C.;24;
4;11;2;Xavier C.;24;
5;11;2;Xavier C.;24;
1;12;2;Xavier C.;26;
3;12;2;Xavier C.;26;
4;12;2;Xavier C.;29;
5;12;2;Xavier C.;31;
5;13;2;Xavier C.;32;
6;13;2;Xavier C.;32;
6;13;2;Xavier C.;36;
6;13;2;Xavier C.;39;
5;14;2;Xavier C.;;Beaucoup trop de charge de tavaille.
6;14;2;Xavier C.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
5;15;2;Xavier C.;;Le contenu pourrait être intéressant, mais le cours manque de structure. J’ai eu du mal à comprendre les objectifs réels du module et ce qui était attendu dans les travaux demandés.
2;16;2;Xavier C.;;bonne pédagogie
4;16;2;Xavier C.;;Je suis très satisfait de la qualité des enseignements. Les professeurs sont disponibles, pédagogues et prennent le temps de répondre aux questions. Cela aide beaucoup à progresser.
1;11;3;Xavier C.;24;
2;11;3;Xavier C.;25;
3;11;3;Xavier C.;24;
4;11;3;Xavier C.;24;
5;11;3;Xavier C.;24;
1;12;3;Xavier C.;26;
3;12;3;Xavier C.;26;
4;12;3;Xavier C.;29;
5;12;3;Xavier C.;31;
5;13;3;Xavier C.;34;
5;13;3;Xavier C.;36;
6;13;3;Xavier C.;32;
6;13;3;Xavier C.;35;
6;13;3;Xavier C.;39;
5;14;3;Xavier C.;;Les notions sont importantes, mais elles ne sont pas toujours suffisamment expliquées.
6;14;3;Xavier C.;;Le cours manque clairement de structure. On passe d’un sujet à l’autre sans vraie logique, ce qui rend la compréhension très difficile.
5;15;3;Xavier C.;;Il faudrait davantage d’exemples concrets et de corrections détaillées pour mieux suivre.
6;15;3;Xavier C.;;Je n’ai pas trouvé ce cours utile. Les explications restent trop théoriques et il manque des exemples concrets pour vraiment comprendre.
2;16;3;Xavier C.;;bon
4;16;3;Xavier C.;;Les cours sont bien organisés et les enseignants maîtrisent très bien leurs sujets. Les supports sont utiles et les notions importantes sont bien expliquées.
1;11;1;Théo B.;24;
2;11;1;Théo B.;25;
3;11;1;Théo B.;24;
4;11;1;Théo B.;24;
5;11;1;Théo B.;24;
1;12;1;Théo B.;26;
3;12;1;Théo B.;26;
4;12;1;Théo B.;29;
5;13;1;Théo B.;34;
6;13;1;Théo B.;32;
6;13;1;Théo B.;35;
6;13;1;Théo B.;39;
5;14;1;Théo B.;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
6;14;1;Théo B.;;boffff
5;15;1;Théo B.;;Le contenu pourrait être intéressant, mais le cours manque de structure. J’ai eu du mal à comprendre les objectifs réels du module et ce qui était attendu dans les travaux demandés.
2;16;1;Théo B.;;bon prof
4;16;1;Théo B.;;Les enseignants sont très investis et savent rendre les cours intéressants. Les explications sont claires, les exemples sont pertinents et l’ambiance en cours donne envie de participer.
1;11;6;Enzo F.;24;
2;11;6;Enzo F.;25;
3;11;6;Enzo F.;24;
4;11;6;Enzo F.;24;
5;11;6;Enzo F.;24;
1;12;6;Enzo F.;26;
3;12;6;Enzo F.;26;
4;12;6;Enzo F.;29;
