submission_id;question_id;module_id;teacher;option_id;answer_value
61;1;;;1;
62;1;;;1;
63;1;;;1;
64;1;;;3;
65;1;;;6;
66;1;;;6;
65;2;;;10;
66;2;;;7;
66;2;;;10;
66;2;;;13;
65;3;;;;pas assez dasso
66;3;;;;nullll
65;4;;;;La vie associative permet de rencontrer d’autres étudiants et de créer une bonne ambiance sur le campus.
66;4;;;;L’ambiance entre les étudiants reste conviviale et certains espaces du campus sont agréables.
62;5;;;;L’ambiance sur le campus est agréable et les échanges entre étudiants sont faciles.
64;5;;;;Très belle école
62;6;;;14;
63;6;;;14;
64;6;;;16;
65;6;;;19;
61;6;;;14;
66;6;;;19;
65;7;;;21;
66;7;;;20;
66;7;;;22;
66;7;;;23;
65;8;;;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
66;8;;;;les pofs sont nuuuuuls
65;9;;;;Les sujets abordés sont utiles pour construire un profil polyvalent en data et en intelligence artificielle.
66;9;;;;Les travaux pratiques permettent d’appliquer concrètement plusieurs notions vues en cours.
62;10;;;;so far so good
64;10;;;;Cursus assez complet
61;11;62;Xavier C.;24;
62;11;62;Xavier C.;25;
63;11;62;Xavier C.;24;
64;11;62;Xavier C.;24;
65;11;62;Xavier C.;24;
61;12;62;Xavier C.;26;
63;12;62;Xavier C.;26;
64;12;62;Xavier C.;28;
65;12;62;Xavier C.;31;
65;13;62;Xavier C.;32;
66;13;62;Xavier C.;32;
66;13;62;Xavier C.;36;
66;13;62;Xavier C.;39;
65;14;62;Xavier C.;;Beaucoup trop de charge de tavaille.
66;14;62;Xavier C.;;Je suis globalement déçu par ce cours. Je n’ai pas eu l’impression de progresser malgré le temps passé dessus.
65;15;62;Xavier C.;;Les exercices d’automatisation étaient intéressants et directement applicables.
64;16;62;Xavier C.;;Je suis très satisfait de la qualité des enseignements. Les professeurs sont disponibles, pédagogues et prennent le temps de répondre aux questions. Cela aide beaucoup à progresser.
61;11;63;Xavier C.;24;
62;11;63;Xavier C.;25;
63;11;63;Xavier C.;24;
64;11;63;Xavier C.;24;
65;11;63;Xavier C.;24;
61;12;63;Xavier C.;26;
63;12;63;Xavier C.;26;
64;12;63;Xavier C.;28;
65;12;63;Xavier C.;31;
65;13;63;Xavier C.;34;
65;13;63;Xavier C.;36;
66;13;63;Xavier C.;32;
66;13;63;Xavier C.;35;
66;13;63;Xavier C.;39;
65;14;63;Xavier C.;;Les notions sont importantes, mais elles ne sont pas toujours suffisamment expliquées.
66;14;63;Xavier C.;;Le cours manque clairement de structure. On passe d’un sujet à l’autre sans vraie logique, ce qui rend la compréhension très difficile.
65;15;63;Xavier C.;;Les cas d’usage abordés ont montré l’intérêt des architectures de services complexes.
66;15;63;Xavier C.;;Le module présente des problématiques techniques utiles pour comprendre les échanges entre services.
64;16;63;Xavier C.;;Les cours sont bien organisés et les enseignants maîtrisent très bien leurs sujets. Les supports sont utiles et les notions importantes sont bien expliquées.
61;11;61;Théo B.;24;
62;11;61;Théo B.;25;
63;11;61;Théo B.;24;
64;11;61;Théo B.;24;
65;11;61;Théo B.;24;
61;12;61;Théo B.;26;
63;12;61;Théo B.;26;
64;12;61;Théo B.;28;
65;12;61;Théo B.;31;
65;13;61;Théo B.;34;
66;13;61;Théo B.;32;
66;13;61;Théo B.;35;
66;13;61;Théo B.;39;
65;14;61;Théo B.;;Le module manque de clarté dans l’organisation. Les notions abordées sont intéressantes, mais les explications restent parfois trop rapides et les consignes ne sont pas toujours assez précises.
66;14;61;Théo B.;;boffff
65;15;61;Théo B.;;Les démonstrations pratiques ont permis de découvrir concrètement les principaux services cloud.
64;16;61;Théo B.;;Les enseignants sont très investis et savent rendre les cours intéressants. Les explications sont claires, les exemples sont pertinents et l’ambiance en cours donne envie de participer.
61;11;66;Enzo F.;24;
62;11;66;Enzo F.;25;
63;11;66;Enzo F.;24;
64;11;66;Enzo F.;24;
65;11;66;Enzo F.;24;
61;12;66;Enzo F.;26;
63;12;66;Enzo F.;26;
64;12;66;Enzo F.;28;
65;12;66;Enzo F.;31;
65;13;66;Enzo F.;32;
65;13;66;Enzo F.;36;
65;13;66;Enzo F.;38;
66;13;66;Enzo F.;32;
66;13;66;Enzo F.;35;
66;13;66;Enzo F.;39;
65;14;66;Enzo F.;;Le sujet est actuel et motivant, mais le module pourrait être mieux cadré.
66;14;66;Enzo F.;;Le cours manque d’interaction. On a surtout l’impression d’écouter passivement sans être vraiment impliqués.
65;15;66;Enzo F.;;Les mises en pratique autour des LLM sont actuelles et particulièrement intéressantes.
66;15;66;Enzo F.;;Les outils présentés donnent un bon aperçu des possibilités offertes par l’intelligence artificielle générative.
